게시대명,게시대위치명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,현수막규격,게시면수,부착금액,용도구분명,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
기린04,진다리 옆(기린입구주유소옆),강원특별자치도,인제군,,강원특별자치도 인제군 기린면 현리 610-3,37.9670252,128.3229488,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
기린05,진동2교 옆(구-추대분교 앞),강원특별자치도,인제군,,강원특별자치도 인제군 기린면 진동리 658-5,37.9632305,128.4055714,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
기린06,북리 하죽천교,강원특별자치도,인제군,,강원특별자치도 인제군 기린면 북리 1288-1,37.97831387,128.3092981,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
기린07-1,덕다리 헌병대앞 신형 3좌,강원특별자치도,인제군,,강원특별자치도 인제군 기린면 현리 738-7,37.9496214,128.317216,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
기린07-2,덕다리 헌병대앞 신형 1중,강원특별자치도,인제군,,강원특별자치도 인제군 기린면 현리 738-7,37.9496214,128.317216,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
기린07-3,덕다리 헌병대앞 신형 2우,강원특별자치도,인제군,,강원특별자치도 인제군 기린면 현리 738-7,37.9496214,128.317216,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
기린08,(6000*700)현리 다함께 돌봄센터,강원특별자치도,인제군,,강원특별자치도 인제군 기린면 현리 454-7,37.96154997,128.3206125,600x70,4,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
기린09,(5000*600)현리 공영주차장 옆,강원특별자치도,인제군,,강원특별자치도 인제군 기린면 현리 634-7,37.95707554,128.317517,500x60,2,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남01,(6000*900)구 부평교 앞,강원특별자치도,인제군,,강원특별자치도 인제군 남면 부평리 산39-2,37.99442915,128.110271,600x90,3,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남02-1,신남터미널 앞(좌),강원특별자치도,인제군,,강원특별자치도 인제군 남면 신남리 537-1,37.96625988,128.0781479,600x70,6,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남02-2,신남터미널 앞(우),강원특별자치도,인제군,,강원특별자치도 인제군 남면 신남리 537-1,37.96625988,128.0781479,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남03-1,[공공]남면 문화마을 소공원(좌),강원특별자치도,인제군,,강원특별자치도 인제군 남면 신남리 369,37.96849653,128.0800826,600x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남03-2,[공공]남면 문화마을 소공원(중),강원특별자치도,인제군,,강원특별자치도 인제군 남면 신남리 369,37.96849653,128.0800826,600x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남03-3,[공공]남면 문화마을 소공원(우),강원특별자치도,인제군,,강원특별자치도 인제군 남면 신남리 369,37.96849653,128.0800826,600x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남04,(5000*600)하나로마트 앞,강원특별자치도,인제군,,강원특별자치도 인제군 남면 신남리 369,37.96849653,128.0800826,500x60,2,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
